Geography,FIPS,Estimate (Total consumer expenditures per household ),MoE (Total consumer expenditures per household )
"Census Tract 206, Georgia",13089020600,116778.32,
"Census Tract 207, Georgia",13089020700,109513.7,
"Census Tract 208.01, Georgia",13089020801,147832.87,
"Census Tract 208.02, Georgia",13089020802,142107.51,
"Census Tract 209.01, Georgia",13089020901,118412.86,
"Census Tract 209.02, Georgia",13089020902,112152.82,
"Census Tract 21, Georgia",13115002100,48417.27,
"Census Tract 21, Georgia",13059002100,70232.79,
"Census Tract 21, Georgia",13121002100,113212.86,
"Census Tract 211.01, Georgia",13089021101,260660.7,
"Census Tract 211.03, Georgia",13089021103,155225.54,
"Census Tract 211.04, Georgia",13089021104,131586.05,
"Census Tract 212.04, Georgia",13089021204,45101.43,
"Census Tract 212.08, Georgia",13089021208,102850.46,
"Census Tract 212.10, Georgia",13089021210,232185.01,
"Census Tract 212.11, Georgia",13089021211,151643.93,
"Census Tract 212.13, Georgia",13089021213,239560.45,
"Census Tract 212.17, Georgia",13089021217,149578.05,
